ATVI,21.7000,2898,21.6900,0,N,21.7200,2109,21.7300,3143,Y
ADBE,66.8200,609,66.8100,1075,Y,66.8500,1741,66.8600,1543,N
AKAM,62.5500,600,62.5400,556,N,62.5800,780,62.5900,0,N
ALXN,160.9200,7,160.9100,100,Y,160.9900,240,161.0000,45,N
GOOG,591.3300,19,591.3200,0,N,591.7400,100,591.7500,117,Y
GOOGL,600.1500,124,600.1400,0,N,600.5000,10,600.5100,0,N
AMZN,330.6400,200,330.6300,0,N,330.8200,122,330.8300,22,N
AAL,37.1500,1000,37.1400,0,N,37.1800,3300,37.1900,1300,N
AMGN,143.4000,150,143.3900,0,N,143.4300,2,143.4400,0,N
ADI,49.8600,472,49.8500,795,Y,49.8900,1007,49.9000,0,N
AAPL,101.7100,501,101.7000,299,N,101.7100,3100,101.7200,1450,N
AMAT,22.5500,9299,22.5400,0,N,22.5600,11973,22.5700,8506,N
ADSK,55.2200,100,55.2100,300,Y,55.2400,890,55.2500,482,N
ADP,83.7600,300,83.7500,163,N,83.7800,302,83.7900,0,N
AVGO,89.3000,651,89.2900,0,N,89.3500,391,89.3600,597,Y
BIDU,224.8800,335,224.8700,0,N,225.1700,106,225.1800,0,N
BBBY,63.7200,487,63.7100,1479,Y,63.7700,1162,63.7800,1559,Y
BIIB,329.3000,100,329.2900,0,N,329.5400,6,329.5500,0,N
BMRN,69.7200,100,69.7100,100,Y,69.7500,452,69.7600,0,N
CHRW,67.5300,300,67.5200,0,N,67.5500,304,67.5600,849,Y
CA,28.3300,2957,28.3200,2747,N,28.4200,2400,28.4300,0,N
CELG,93.9300,450,93.9200,0,N,93.9700,200,93.9800,376,Y
CERN,58.5000,1011,58.4900,1471,Y,58.5100,700,58.5200,200,N
CHTR,161.9400,289,161.9300,0,N,161.9700,400,161.9800,300,N
CHKP,70.4400,500,70.4300,850,Y,70.4800,663,70.4900,0,N
CSCO,25.0500,15884,25.0400,0,N,25.0700,39579,25.0800,0,N
CTXS,71.2800,200,71.2700,1373,Y,71.3000,1493,71.3100,0,N
CTSH,45.0100,1376,45.0000,0,N,45.0200,801,45.0300,1842,Y
CMCSA,56.8700,22,56.8600,0,N,56.7100,3576,56.7200,0,N
CMCSK,56.4400,4600,56.4300,0,N,56.4600,2122,56.4700,0,N
COST,126.6900,1252,126.6800,0,N,126.7300,202,126.7400,650,Y
DISCA,40.1200,900,40.1100,0,N,40.1300,1206,40.1400,0,N
DISCK,39.3100,1094,39.3000,1177,Y,39.3600,689,39.3700,0,N
DISH,64.8800,550,64.8700,0,N,64.9100,100,64.9200,415,Y
DLTR,56.8900,500,56.8800,1171,Y,56.9000,1200,56.9100,858,N
EBAY,52.4700,1250,52.4600,1400,Y,52.5500,1426,52.5600,0,N
EA,36.9100,473,36.9000,1251,Y,36.9300,1315,36.9400,0,N
EXPD,41.7600,1645,41.7500,0,N,41.7700,400,41.7800,350,N
ESRX,74.3100,1270,74.3000,0,N,74.3300,1102,74.3400,1426,Y
FB,77.0700,705,77.0600,2614,Y,77.0800,3603,77.0900,2450,N
FAST,46.0000,291,45.9900,650,Y,46.0100,964,46.0200,790,N
FISV,65.5300,497,65.5200,405,N,65.5700,542,65.5800,641,Y
GRMN,52.1300,578,52.1200,785,Y,52.1700,866,52.1800,1004,Y
GILD,106.5000,273,106.4900,0,N,106.5600,1273,106.5700,0,N
HSIC,117.0400,300,117.0300,0,N,117.0600,503,117.0700,16,N
ILMN,174.2700,300,174.2600,0,N,174.3000,400,174.3100,100,N
INCY,49.2000,300,49.1900,0,N,49.2400,400,49.2500,0,N
INTC,34.9100,10686,34.9000,0,N,34.9200,5800,34.9300,14727,Y
INTU,86.2900,880,86.2800,379,N,86.3300,514,86.3400,0,N
ISRG,473.2000,200,473.1900,0,N,473.6000,1,473.6100,0,N
JD,28.1000,400,28.0900,300,N,28.1500,300,28.1600,400,Y
GMCR,135.5800,100,135.5700,19,N,135.6200,100,135.6300,100,Y
KLAC,80.5600,500,80.5500,0,N,80.5800,101,80.5900,500,Y
LRCX,76.3800,100,76.3700,233,Y,76.4200,669,76.4300,1067,Y
LBTYA,44.1700,600,44.1600,0,N,44.1800,1010,44.1900,1264,Y
LBTYK,42.4600,2150,42.4500,1650,N,42.4900,1300,42.5000,1050,N
LILA,,,,,N,,,,,N
LILAK,,,,,N,,,,,N
LVNTA,38.0100,200,38.0000,400,Y,38.0600,200,38.0700,0,N
QVCA,,,,,N,,,,,N
LMCA,48.7200,503,48.7100,207,N,48.7500,400,48.7600,0,N
LMCK,49.0000,500,48.9900,312,N,49.0200,600,49.0300,300,N
LLTC,45.3300,310,45.3200,2018,Y,45.3500,973,45.3600,1007,Y
MAR,72.2100,610,72.2000,968,Y,72.2300,934,72.2400,0,N
MAT,33.7800,2137,33.7700,0,N,33.8000,2546,33.8100,2251,N
MU,31.5000,10055,31.4900,0,N,31.5400,1321,31.5500,2169,Y
MSFT,46.8600,10776,46.8500,7072,N,46.8700,6200,46.8800,0,N
MDLZ,35.6300,4338,35.6200,0,N,35.6500,2501,35.6600,3363,Y
MNST,90.2700,582,90.2600,0,N,90.2900,100,90.3000,0,N
MYL,47.3700,1122,47.3600,1303,Y,47.3800,1001,47.3900,475,N
NTAP,43.0400,1974,43.0300,0,N,43.0800,114,43.0900,0,N
NFLX,457.7000,118,457.6900,0,N,458.0500,100,458.0600,0,N
NVDA,19.1300,4118,19.1200,13586,Y,19.1400,7805,19.1500,0,N
NXPI,72.1700,785,72.1600,650,N,72.2100,360,72.2200,460,Y
ORLY,154.0100,188,154.0000,31,N,154.0800,500,154.0900,173,N
PCAR,59.7600,400,59.7500,0,N,59.7800,978,59.7900,0,N
PAYX,42.7600,1233,42.7500,1721,Y,42.7700,1900,42.7800,2150,Y
PYPL,,,,,N,,,,,N
QCOM,75.7200,900,75.7100,1050,Y,75.7600,3950,75.7700,0,N
REGN,360.0300,100,360.0200,0,N,360.4300,110,360.4400,8,N
ROST,75.3100,400,75.3000,789,Y,75.3900,1076,75.4000,776,N
SNDK,101.8600,501,101.8500,0,N,101.9000,14,101.9100,304,Y
SBAC,111.8400,200,111.8300,0,N,111.8700,200,111.8800,0,N
STX,58.5400,508,58.5300,0,N,58.5700,312,58.5800,605,Y
SIRI,3.5700,211351,3.5600,185655,N,3.6100,296674,3.6200,0,N
SWKS,57.5500,750,57.5400,450,N,57.5900,676,57.6000,0,N
SPLS,13.0200,9987,13.0100,6785,N,13.0400,10424,13.0500,0,N
SBUX,76.1000,500,76.0900,0,N,76.1400,860,76.1500,0,N
SRCL,116.8100,690,116.8000,0,N,116.8400,101,116.8500,0,N
SYMC,24.3500,3599,24.3400,0,N,24.3700,2641,24.3800,3047,Y
TSLA,258.9400,115,258.9300,0,N,259.0000,100,259.0100,0,N
TXN,48.8400,1370,48.8300,0,N,48.8600,1712,48.8700,2152,Y
KHC,,,,,N,,,,,N
PCLN,1190.2500,138,1190.2400,0,N,1191.0900,4,1191.1000,100,Y
TSCO,60.9600,400,60.9500,763,Y,60.9800,400,60.9900,533,Y
TRIP,97.8900,31,97.8800,374,Y,97.9500,100,97.9600,5,N
FOX,34.0700,5013,34.0600,3250,N,34.0800,203,34.0900,0,N
FOXA,35.1200,4000,35.1100,4901,Y,35.1300,3898,35.1400,4307,Y
VRSK,64.0200,200,64.0100,0,N,64.0600,462,64.0700,562,Y
VRTX,104.5400,300,104.5300,0,N,104.5500,100,104.5600,0,N
VIAB,80.9300,1000,80.9200,470,N,80.9400,200,80.9500,1550,Y
VIP,7.9700,3471,7.9600,9363,Y,7.9800,1400,7.9900,4079,Y
VOD,33.2400,2802,33.2300,0,N,33.2500,4415,33.2600,4587,Y
WBA,,,,,N,,,,,N
WDC,98.4000,101,98.3900,200,Y,98.4200,100,98.4300,0,N
WFM,39.0300,907,39.0200,1319,Y,39.0600,1568,39.0700,1027,N
WYNN,184.4100,390,184.4000,0,N,184.4600,33,184.4700,121,Y
XLNX,44.0100,2154,44.0000,1605,N,44.0300,832,44.0400,0,N
YHOO,40.7100,7950,40.7000,2093,N,40.7400,3485,40.7500,0,N
