Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 38.89, 1.27,3.38, 5023426, .8,
ADBE, Adobe Systems Incorporated, 92.58, 2.67,2.97, 2964285, 1.2,
AKAM, Akamai Technologies Inc., 56.615, 1.805,3.29, 2525285, .3,
ALXN, Alexion Pharmaceuticals Inc., 175.76, 6.97,4.13, 1221355, 1.2,
GOOG, Alphabet Inc., 766.81, 14.27,1.9, 2747728, 3.5,
GOOGL, Alphabet Inc., 779.21, 11.01,1.43, 2489998, .0,
AMZN, Amazon.com Inc., 672.64, 6.39,0.96, 4530198, 2.6,
AAL, American Airlines Group Inc., 44.97, 1.7,3.93, 9452195, .0,
AMGN, Amgen Inc., 161.43, 6.78,4.38, 3920918, 4.5,
ADI, Analog Devices Inc., 59.21, 0.16,0.27, 5532907, .0,
AAPL, Apple Inc., 119.03, 3.83,3.32, 54215774, 3.0,
AMAT, Applied Materials Inc., 19.03, 0.27,1.44, 12173230, .3,
ADSK, Autodesk Inc., 65.29, 0.88,1.37, 1879511, .2,
ADP, Automatic Data Processing Inc., 87.43, 2.17,2.55, 1521945, .9,
AVGO, Avago Technologies Limited, 147.56, 2.78,1.92, 6011634, .6,
BIDU, Baidu Inc., 208.3, 0.82,0.4, 3463599, .2,
BBBY, Bed Bath &amp; Beyond Inc., 54.39, 1.03,1.93, 2229850, .2,
BIIB, Biogen Inc., 284.45, 9.01,3.27, 1910742, 1.9,
BMRN, BioMarin Pharmaceutical Inc., 98.11, 3.9,4.14, 1077270, .0,
CHRW, C.H. Robinson Worldwide Inc., 62.8, 0.58,0.93, 2930845, .1,
CA, CA Inc., 29, 0.72,2.55, 4198592, .3,
CELG, Celgene Corporation, 110.36, 3.81,3.58, 4944615, 1.4,
CERN, Cerner Corporation, 60.13, 0.9,1.52, 2094924, .3,
CHTR, Charter Communications Inc., 184.52, 3.73,2.06, 1181201, .4,
CHKP, Check Point Software Technologies Ltd., 86.905, 2.205,2.6, 939269, .4,
CSCO, Cisco Systems Inc., 27.48, 0.53,1.97, 28015395, 2.4,
CTXS, Citrix Systems Inc., 76.21, 0.81,1.07, 1960261, .1,
CTSH, Cognizant Technology Solutions Corporation, 62.96, 1.29,2.09, 4079104, .7,
CMCSA, Comcast Corporation, 60.75, 1.13,1.9, 12229492, 2.1,
CMCSK, Comcast Corporation, 60.82, 1.14,1.91, 2144117, .0,
COST, Costco Wholesale Corporation, 166.8, 3.13,1.91, 2562710, 1.2,
DISCA, Discovery Communications Inc., 30.73, 0.61,2.03, 2338218, .1,
DISCK, Discovery Communications Inc., 29.4, 0.72,2.51, 1947807, .0,
DISH, DISH Network Corporation, 61.52, 0.84,1.38, 1139470, .2,
DLTR, Dollar Tree Inc., 77.24, 3.15,4.25, 4462417, .6,
EBAY, eBay Inc., 29.35, 0.76,2.66, 10049792, .9,
EA, Electronic Arts Inc., 70.38, 3.16,4.7, 3885069, .0,
EXPD, Expeditors International of Washington Inc., 47.83, 1.25,2.68, 2184400, .2,
ESRX, Express Scripts Holding Company, 86.65, 1.97,2.33, 3488256, 1.3,
FB, Facebook Inc., 106.18, 1.8,1.72, 21211728, 3.1,
FAST, Fastenal Company, 40.14, 0.7,1.77, 2394076, .2,
FISV, Fiserv Inc., 95.45, 1.68,1.79, 1875450, .4,
GRMN, Garmin Ltd., 37.64, 0.47,1.26, 1873871, .1,
GILD, Gilead Sciences Inc., 104.07, 2.69,2.65, 8700293, 3.6,
HSIC, Henry Schein Inc., 158.35, 2.05,1.31, 481623, .2,
ILMN, Illumina Inc., 178.83, 4.69,2.69, 2193333, .5,
INCY, Incyte Corporation, 109.11, 2.28,2.13, 2120456, .0,
INTC, Intel Corporation, 34.935, 0.895,2.63, 22614121, 3.9,
INTU, Intuit Inc., 98.63, 2.25,2.33, 2218194, .6,
ISRG, Intuitive Surgical Inc., 521.4, 12.74,2.5, 235680, .4,
JD, JD.com Inc., 32.25, 0.69,2.19, 9682619, .0,
GMCR, Keurig Green Mountain Inc., 51.7, -2.6,-4.79, 3774408, -.4,
KLAC, KLA-Tencor Corporation, 67.57, 0.96,1.44, 975934, .1,
LRCX, Lam Research Corporation, 77.68, 1.24,1.62, 2270711, .0,
LBTYA, Liberty Global plc, 42.31, 0.25,0.59, 1659633, .1,
LBTYK, Liberty Global plc, 40.88, 0.38,0.94, 2660745, .0,
LILA, Liberty Global plc, 38.56, -0.99,-2.5, 56244, .0,
LILAK, Liberty Global plc, 39.74, -1.05,-2.57, 112201, .0,
LVNTA, Liberty Interactive Corporation, 43.49, 0.28,0.65, 333598, .0,
QVCA, Liberty Interactive Corporation, 27.1, 0.59,2.23, 1787652, .0,
LMCA, Liberty Media Corporation, 40, 0.19,0.48, 1265158, .0,
LMCK, Liberty Media Corporation, 38.73, 0.22,0.57, 495195, .0,
LLTC, Linear Technology Corporation, 45.69, 1,2.24, 2416567, .2,
MAR, Marriott International, 71.04, 2.26,3.29, 3462764, .6,
MAT, Mattel Inc., 25.535, 1.055,4.31, 10298691, .3,
MU, Micron Technology Inc., 15.5, -0.11,-0.7, 19068501, -.1,
MSFT, Microsoft Corporation, 55.91, 1.71,3.15, 43924469, 12.4,
MDLZ, Mondelez International Inc., 44.5, 1.89,4.44, 11277953, 2.9,
MNST, Monster Beverage Corporation, 156.695, 3.625,2.37, 1143683, .5,
MYL, Mylan N.V., 51.41, 0.34,0.67, 7790778, .1,
NTAP, NetApp Inc., 31.28, 0.42,1.36, 3202885, .1,
NFLX, Netflix Inc., 130.93, 4.12,3.25, 20219333, .2,
NVDA, NVIDIA Corporation, 33.75, 1.32,4.07, 11436675, .7,
NXPI, NXP Semiconductors N.V., 90.45, 0.53,0.59, 5763150, .1,
ORLY, O'Reilly Automotive Inc., 258.61, 5.24,2.07, 1106515, .5,
PCAR, PACCAR Inc., 49.78, 0.99,2.03, 4960723, .3,
PAYX, Paychex Inc., 53.71, 1.06,2.01, 2481426, .3,
PYPL, PayPal Holdings Inc., 35.62, 1.39,4.06, 10634086, .0,
QCOM, QUALCOMM Incorporated, 52.34, 0.94,1.83, 16177724, 1.4,
REGN, Regeneron Pharmaceuticals Inc., 558.66, 22.93,4.28, 618204, 2.0,
ROST, Ross Stores Inc., 54.16, 1.65,3.14, 2951693, .3,
SNDK, SanDisk Corporation, 75.27, 0.37,0.49, 2378596, .1,
SBAC, SBA Communications Corporation, 108.53, 1.63,1.52, 1052280, .2,
STX, Seagate Technology., 34.45, 0.68,2.01, 4338688, .2,
SIRI, Sirius XM Holdings Inc., 4.09, 0.03,0.74, 22777809, .2,
SWKS, Skyworks Solutions Inc., 87.92, 4.48,5.37, 5107296, .0,
SPLS, Staples Inc., 12.36, 0.4,3.34, 11929149, .2,
SBUX, Starbucks Corporation, 61.75, 2.2,3.69, 9058162, 1.5,
SRCL, Stericycle Inc., 116.64, 3,2.64, 1590242, .2,
SYMC, Symantec Corporation, 20.04, 0.33,1.67, 8713260, .2,
TSLA, Tesla Motors Inc., 230.38, -2.33,-1, 2568839, -.3,
TXN, Texas Instruments Incorporated, 58.88, 1.19,2.06, 6371084, 1.1,
KHC, The Kraft Heinz Company, 72.22, 0.76,1.06, 4479306, .0,
PCLN, The Priceline Group Inc., 1300.48, 20.4,1.59, 553745, .9,
TSCO, Tractor Supply Company, 88.04, 2.38,2.78, 1409573, .3,
TRIP, TripAdvisor Inc., 84.37, 1.23,1.48, 1710154, .1,
FOX, Twenty-First Century Fox Inc., 30, 0.29,0.98, 6165930, .0,
FOXA, Twenty-First Century Fox Inc., 29.33, 0.3,1.03, 11351702, .4,
VRSK, Verisk Analytics Inc., 75.32, 1.17,1.58, 650736, .2,
VRTX, Vertex Pharmaceuticals Incorporated, 125.17, 3.11,2.55, 1651860, .6,
VIAB, Viacom Inc., 46.22, -0.51,-1.09, 3993813, -.2,
VIP, VimpelCom Ltd., 3.43, 0.16,4.89, 2982374, .2,
VOD, Vodafone Group Plc, 32.88, 0.24,0.74, 4702219, .1,
WBA, Walgreens Boots Alliance Inc., 84.62, 2.68,3.27, 4684655, .0,
WDC, Western Digital Corporation, 64.58, 0.96,1.51, 3216247, .2,
WFM, Whole Foods Market Inc., 29.52, -0.44,-1.47, 6199035, -.1,
WYNN, Wynn Resorts Limited, 64.6, -0.48,-0.74, 4229746, .0,
XLNX, Xilinx Inc., 48.97, 0.5,1.03, 2780127, .1,
YHOO, Yahoo! Inc., 34.91, 0.57,1.66, 16063059, .5,
